asset,h,model,benchmark,n,cw,p_cw,wcw_01,p_wcw_01,rejfrac_01,wcw_02,p_wcw_02,rejfrac_02,wcw_04,p_wcw_04,rejfrac_04,holm_cw,bh_cw,holm_wcw,bh_wcw
SOL,1,ridge,recursive_mean,1721,1.3374305121315444,0.09054107513745491,1.3375667674312215,0.09051885185516317,0.0,1.3375754599321974,0.09051743424294201,0.0,1.3384506489579548,0.0903747888305082,0.0,0.7767843055315582,0.14815812295219893,0.7766202427752478,0.14811943785208692
SOL,1,elastic_net,zero,1721,0.14761316804610833,0.4413240311779668,0.1476397083691071,0.4413135578704076,0.0,0.14735773606678215,0.441424831508358,0.0,0.14739158780091333,0.4414114724851912,0.0,1.0,0.6110640431694925,1.0,0.6112036128577264
SOL,1,elastic_net,recursive_mean,1721,1.4260791568859532,0.07692274722932968,1.4260070944312315,0.07693314711838783,0.0,1.4263981444042986,0.07687672451329408,0.0,1.4235586412760406,0.07728713771612972,0.0,0.7692274722932968,0.14815812295219893,0.7687672451329408,0.14811943785208692
SOL,1,gbm,zero,1721,0.8174495018821133,0.20683579823347265,0.8177279512071951,0.2067562731975754,0.0,0.8184460688634958,0.20655126259369805,0.0,0.8195063113234493,0.2062488012898399,0.0,1.0,0.3723044368202507,1.0,0.3717922726686565
SOL,1,gbm,recursive_mean,1721,1.8703459871446073,0.030717893666470375,1.870602920261957,0.03070006977205597,1.0,1.8721976048549842,0.030589635170026663,1.0,1.870686905711799,0.030694245413699583,1.0,0.43005051133058525,0.10369861952074556,0.4282548923803733,0.10371606614217312
SOL,7,ridge,zero,1709,-1.428185728517564,0.9233807963653108,-1.4285405549334287,0.923431834829101,0.0,-1.428383606062858,0.9234092623912632,0.0,-1.4268092042371698,0.9231825512930294,0.0,1.0,0.9233807963653108,1.0,0.9234092623912632
SOL,7,ridge,recursive_mean,1709,2.005867105920081,0.022435214309539542,2.0060045640480126,0.02242788052618938,1.0,2.0059891512643935,0.022428702741519535,1.0,2.0060316901984256,0.022426433507554022,1.0,0.3365282146430931,0.10095846439292794,0.336430541122793,0.10092916233683791
SOL,7,elastic_net,zero,1709,-1.4137288596657687,0.9212792358308999,-1.4140826811857976,0.9213311862255095,0.0,-1.4133962062463108,0.9212303697692522,0.0,-1.4135461768391007,0.9212524029666775,0.0,1.0,0.9233807963653108,1.0,0.9234092623912632
SOL,7,elastic_net,recursive_mean,1709,2.2807235389106912,0.011282405682526142,2.2809769593602973,0.011274905161306581,1.0,2.280999796073,0.01127422947278467,1.0,2.280961516628999,0.01127536209799318,1.0,0.18051849092041827,0.06769443409515685,0.1803876715645547,0.06764537683670802
SOL,7,gbm,zero,1709,-1.3934203388389117,0.9182536405742214,-1.3931994153232155,0.9182202517306051,0.0,-1.3933574804823003,0.9182441416454858,0.0,-1.3924229480724868,0.918102820315412,0.0,1.0,0.9233807963653108,1.0,0.9234092623912632
