predictor,frequency,source,n,years,r2_oos_pct,clark_west,evalue,implied_ir,max_signal_sd,degenerate_fit,ir_ceiling,e_bh_reject
ygap,Annual,workbook,62,62.0,-11.460271570544368,0.29695610654505633,1.0000705566526578,0.0015086221405770737,1.333993178597693,False,1.0715965287768294,False
shtint,Quarterly,workbook,191,47.75,-3.7292234698609983,-1.8657673466397309,1.0000202074375906,0.0009199871026424144,0.354650701067037,False,0.45016947141442154,False
ltr,Quarterly,workbook,320,80.0,0.5235728150541852,1.235994073154426,1.0,0.0,0.4941329098039716,False,0.6903860003983888,False
infl,Quarterly,workbook,320,80.0,-0.3228188875914473,-0.6515260175506872,1.0,0.0,0.2956629642733479,False,0.41046924776545096,False
svar,Quarterly,workbook,320,80.0,-0.25730232592766633,-1.4551001007455089,1.0,0.0,0.10522502467564751,False,0.5562443326864486,False
shtint,Annual,workbook,42,42.0,-24.597313414639686,-1.5838110395168883,1.0,0.0,1.1916844540917935,False,2.044490457024054,False
ltr,Monthly,workbook,960,80.0,-0.9853812919878635,-0.5625364619424088,1.0,0.0,0.4904720461931925,False,0.27492337315716314,False
e/p,Monthly,workbook,960,80.0,-0.7919899821936305,1.5549381257723978,1.0,0.0,0.6517939019328594,False,0.4036431693220707,False
tail,Quarterly,workbook,320,80.0,-0.6794944999397368,-0.7913903264770573,1.0,0.0,0.25739584820754713,False,0.2567813968192454,False
b/m,Quarterly,workbook,320,80.0,-5.720456036921084,0.8681081067147115,1.0,0.0,0.8186702141202366,False,0.5281757135985776,False
skvw,Quarterly,workbook,320,80.0,-4.956666029211543,-2.0313127737893764,1.0,0.0,1.3479126857596346,False,0.2082182579653206,False
b/m,Monthly,workbook,960,80.0,-1.3463795749195206,0.5858686682039008,1.0,0.0,0.37450613360439305,False,0.45840646619290576,False
shtint,Monthly,real time,515,42.916666666666664,-0.1489546085722493,0.9883746354779692,1.0,0.0,0.25340508287264174,False,0.9960174004141555,False
csp,Annual,workbook,56,56.0,-8.649249811360926,-0.9691676205858343,1.0,0.0,0.8583767538457509,False,0.6019902681099031,False
ygap,Monthly,real time,812,67.66666666666667,-1.0232154179885766,-0.45818223847651685,1.0,0.0,0.484135033505318,False,0.3856163000638278,False
dfr,Monthly,workbook,960,80.0,-0.429385919553682,-0.23023166577389415,1.0,0.0,0.4609701704513046,False,0.3620866897532852,False
infl,Annual,workbook,80,80.0,-5.926404045126432,-1.534849047003627,1.0,0.0,1.3674815010315982,False,0.304670280649124,False
tms,Annual,workbook,80,80.0,-3.154826218100082,0.3971284116309757,1.0,0.0,0.5945541110143798,False,1.0696466117297145,False
e/p,Quarterly,workbook,320,80.0,-4.2230881886934135,1.6773610751140373,1.0,0.0,1.4099864126875885,False,0.38185504278927085,False
tchi,Quarterly,workbook,279,69.75,-1.2837504394286325,-0.31397578538168197,1.0,0.0,0.6270632373025079,False,0.41058053766567304,False
