rep,ridge_cw_zero,ridge_cw_mean,ridge_cw_mean_nw,ridge_dm_zero,elastic_net_cw_zero,elastic_net_cw_mean,elastic_net_cw_mean_nw,elastic_net_dm_zero,mean_cw_zero
98,1.620184932190694,1.6794847142178815,1.4646472333115592,1.0682313238949697,1.7469075776688414,1.8549945065420952,1.6367520713683492,-0.1384531147983027,-1.2338898388422914
99,1.8123758387456363,1.8551647912091636,1.7681939928169115,1.4260769544711354,1.8547206456403835,1.9041687823464937,1.9018562404714396,0.09128533170737431,-1.1993269484732707
100,1.6249814769745803,1.73494839156653,1.7129383430662952,1.1507043117409856,0.48596941704029467,0.7802141015968665,0.8135579492380678,1.159646744260874,0.32376474629731866
101,1.5550922471151842,1.0833468940161168,0.9288572527027914,1.177971802411279,1.7134590393133733,1.0927006136073405,0.970921282832829,0.17486068361779708,2.1136612172244855
102,1.9693562748565716,2.0231006158409466,2.0350132784080124,1.740982541321905,2.2110025004100344,2.2194921562716576,2.342122991166471,0.20734811984111284,0.5731164082062901
103,2.868770566253854,2.236892052909516,2.1162857881889505,-0.16641775593452418,2.835661439169881,1.8355286172592387,1.821258336394026,-0.7413383103020871,2.3052598493577205
104,0.1404602422003908,0.040401889050371266,0.04330824182237644,2.4451017459021256,0.6416661218266988,0.5226603456101433,0.5663791203521253,0.8948225467355311,0.6928308379982921
105,-0.3603189980749061,-0.5034373489460744,-0.5516469196499026,2.292433550738708,-0.38439666459710087,-0.7948837493417555,-0.9637295447636722,1.5863531887783258,0.7602263056407343
106,1.699596379307033,1.435964783384989,1.5580837947052684,0.13411630850877126,1.4768379515892456,0.9091762146031714,0.8067787482856287,-0.237516886248694,1.5489860376497286
107,0.8064858313106226,0.7283568745256778,0.7311539503042057,2.0507197862342084,0.5792149475428625,0.535337016509131,0.555834302278557,1.355518463871315,0.04428084184052372
108,1.5963531491848837,0.6079875483516846,0.6073086739482464,1.277188644177796,1.8368140005655165,0.1539955057466377,0.14291128608938297,-0.16670689839508301,3.100518154908908
109,1.460970034651763,1.406139870296033,1.2982274246122048,1.0669364094969442,1.1440414171235982,1.1642403173096156,1.2293774236721435,0.09389668604328284,-0.10851555763400739
110,1.1042276650846858,1.217229188092047,1.1693215616598303,0.9402136426925181,1.0673729830263203,1.2225378226741985,1.1197497693203005,0.13248889256902943,-1.3071507404708065
111,1.5807843025058654,1.5589356603833429,1.6997231359136087,0.34303208927205386,0.18124020621420883,0.1254378937742211,0.13720330850552184,0.6418168018218628,0.19152076278183608
112,0.050791854308670996,0.09533416036669182,0.07721935564840723,2.75479176250212,-1.3510344308450453,-1.285451610299746,-1.2989988401151853,3.3249133802345407,-1.3553519445166073
113,-0.5726767069415816,-0.7786515313538543,-0.9875634240265116,2.4292398980666015,-0.1973454459442039,-0.8930260955261009,-1.0215732297474098,1.075733328806605,0.2660681040488806
114,2.5631967142855543,2.522775289261094,2.1540980351599455,0.5331913053959648,2.5352254285785034,2.5408040422884435,2.10686074148056,-1.0249960707365768,-0.37580278540979595
115,2.0733457110299014,1.8778711065731497,1.7810827049889832,0.37935485743219566,2.478739328524378,2.267082770133114,2.101943899511089,-0.5192100018018533,1.2702151742081584
116,2.648154379575521,2.6487750622920285,2.1464296016051327,0.276166807683065,2.6793923169807954,2.7515419209127443,2.265838970326587,-0.8321716989537195,-0.2063776339455285
117,1.288544188600225,1.151978364595424,1.3932240480512155,0.9047053834222233,1.4320120762853166,1.2010289361211552,1.4646806016325518,0.062238849690317365,0.9252165491015962
