asset,horizon,model,oos_start,oos_end,n_oos,rmse,r2_oos,r2_vs_sample_mean,dir_acc,rank_ic,dm_stat,dm_p_vs_rw,cw_stat,cw_p_vs_rw,cw_stat_vs_mean,cw_p_vs_mean,pt_stat,pt_p,sign_excess,sign_p,sharpe_phase_lo,sharpe_phase_hi,dsr,n_trials,sharpe_net,sharpe_lo,sharpe_hi,max_dd,psr,trades,cw_p_holm,cw_p_bh
BTC,7,ridge,2020-07-29,2026-07-10,2173.0,0.08252834299592576,-0.0465978065567656,-0.05935847402764627,0.5227795674183157,0.043531021012123444,1.8507085125124472,0.06434719321559057,1.6444635968243126,0.0500402389120157,1.363627375234972,0.08634243588061374,0.5356879871939682,0.5961598104214004,0.014268744828649482,0.424287856071964,0.3660041997538555,0.8041333101793122,0.6443637031962653,6.0,0.5329460067916176,-0.28168436611027076,1.3518427142109826,-0.6747142990991575,0.9034351487635436,642,0.6505231058562041,0.1501207167360471
BTC,7,elastic_net,2020-07-29,2026-07-10,2173.0,0.0817034534217541,-0.02578039983901448,-0.03828725060679572,0.5227795674183157,0.04288441210976701,1.431433192608143,0.1524499703726836,1.7627234677170822,0.03897357035815752,1.5428825574424474,0.06142963681956004,0.4693478883949157,0.6326814932124082,0.012150966268234864,0.5037481259370314,0.3462912399136254,0.8993920651673025,0.6976811684272397,6.0,0.5935927421571864,-0.2289445699345149,1.4188182237536804,-0.6529392648242296,0.9262029488608703,569,0.5456299850142052,0.14030485328936707
BTC,7,gbm,2020-07-29,2026-07-10,2173.0,0.08089298240748866,-0.005530537361000176,-0.017790491221684857,0.5273815002300967,0.03235957886840787,0.5695730585340186,0.5690262057048492,1.2539044841120064,0.10493836249534161,1.0224383991618469,0.1532867270636562,0.2787397363038363,0.7228083189238187,0.0048933391416940974,0.7451274362818591,0.4971428675396016,0.8206371359725625,0.6877572362967083,6.0,0.581964023879345,-0.21288621338408004,1.407302253876015,-0.7398362140418075,0.9222088338019444,161,1.0,0.20987672499068322
BTC,7,buy_and_hold,,,,,,,,,,,,,,,,,,,,,,,0.7994882626451225,-0.006079221508906559,1.6440487360511569,-0.7663456370856909,0.9745115827855952,1,,
ETH,1,random_walk,2020-07-23,2026-07-16,2185.0,0.04074361598041786,0.0006034253164437509,-0.0004568653670280476,,,,,,,1.299525452085025,0.09688183228022251,,,,,0.0,0.0,,6.0,0.0,0.0,0.0,0.0,,0,,
ETH,1,historical_mean,2020-07-23,2026-07-16,2185.0,0.040755914411269245,0.0,-0.0010609308760214375,0.5148741418764302,0.01878706262554023,0.24604913842771609,0.8056673153647463,0.8079219741044326,0.2095677503030675,,,,,,,0.7967865410103289,0.7967865410103289,0.6731366647768252,6.0,0.7962434878857987,-0.011865746951862679,1.5952287073925864,-0.7935123166505247,0.9745038021801787,1,,
ETH,1,ar1,2020-07-23,2026-07-16,2185.0,0.04079568928916108,-0.00195281039302575,-0.003015813065888162,0.517162471395881,0.0359095516838466,0.469297603881634,0.638903773092598,1.1560672869361808,0.12382681773855353,0.9131146211834913,0.1805911306471828,0.9451615263961414,0.34457641808157913,0.007911231665872487,0.36731634182908546,-0.15079954144816432,-0.15079954144816432,0.06835407136689202,6.0,0.004570464239723748,-0.6849567425211505,0.6917458419159674,-0.8975856646546776,0.504458078625559,665,,
ETH,1,ridge,2020-07-23,2026-07-16,2185.0,0.04109439963844037,-0.016679337099484437,-0.017757963599226212,0.508466819221968,0.05259197957102868,1.4159691492388324,0.1569271311670672,1.8634205786705966,0.031201558489301506,1.7579918100832126,0.03937445142325202,0.524374495044829,0.6000180924220961,0.005491990846681949,0.655672163918041,-0.18467980225312663,-0.18467980225312663,0.33059345767879644,6.0,0.4341698384536557,-0.27407395943998336,1.155218393718211,-0.697544203625903,0.8560591108713203,607,0.4680233773395226,0.14030485328936707
ETH,1,elastic_net,2020-07-23,2026-07-16,2185.0,0.040859956576998424,-0.005112139783929104,-0.0061784942868896575,0.5148741418764302,0.040372000158010984,0.8193178028849887,0.41269451426465886,1.3697565578787292,0.08538145353066395,1.2495754932229954,0.10572733001426471,1.0039260101742924,0.3154142784299401,0.010183851829354551,0.3453273363318341,-0.10926328502212684,-0.10926328502212684,0.0014941442754128557,6.0,-0.6031686901464991,-1.3436992557570961,0.12315604860610181,-0.9932835684975766,0.0704821793664659,722,0.9391959888373035,0.1921082704439939
ETH,1,gbm,2020-07-23,2026-07-16,2185.0,0.040774393302582396,-0.0009070134129491869,-0.0019689065675052575,0.5116704805491991,0.020586863742325493,0.28650694961610057,0.774517046676552,1.4183198761496154,0.07804869814961479,1.0849326913038266,0.1389757337994898,-0.3024798672461697,0.7622862787129951,-0.0015018144306144787,0.7756121939030485,0.910671352072046,0.910671352072046,0.16194510865642103,6.0,0.20964518348186909,-0.6739921423968104,1.0843625271436157,-0.970806287513134,0.6958358439958638,163,0.9365843777953775,0.1921082704439939
